,Loan_Status,Applicant_Income,Loan_Amount,Loan_Tenure,Gender,Dependents,Marriage_Status,Occupation,Credit_Score,DOB
861,No,372638.0,37827,10,Female,No,Yes,Job,Medium,1995
862,Yes,832125.0,137818,10,Male,No,Yes,Job,Medium,1998
863,Yes,869381.0,202052,20,Female,Yes,No,Job,High,1977
864,No,508081.0,54763,15,Male,Yes,Yes,Job,Medium,1988
865,Yes,541844.0,69717,5,Male,Yes,Yes,Business,Medium,1976
866,Yes,,94189,15,Male,Yes,No,Business,Medium,2000
867,Yes,650168.0,136378,10,Female,No,No,Job,High,1992
868,Yes,698781.0,137027,15,Female,No,No,Job,Medium,1989
869,Yes,901530.0,146400,15,Male,Yes,Yes,Job,High,1990
870,Yes,573457.0,122639,15,Male,No,Yes,Job,Medium,1978
871,No,480255.0,91942,10,,No,Yes,Job,High,1979
872,Yes,393102.0,92145,20,,Yes,Yes,Job,Medium,1971
873,Yes,490360.0,109205,5,Female,Yes,No,Job,High,1991
874,No,595030.0,82067,5,Male,Yes,Yes,Job,Low,1989
875,Yes,3476732.0,1467693,10,Male,Yes,Yes,Business,Medium,1996
876,Yes,,62057,5,Male,No,No,Job,High,1986
877,No,,858420,10,,Yes,No,Business,High,1973
878,No,597536.0,149343,20,Male,No,Yes,Job,Low,1975
879,Yes,778258.0,125192,20,Female,Yes,No,Job,Medium,1999
880,Yes,979039.0,130283,10,Male,No,No,Job,Medium,1972
881,No,520369.0,111552,10,Female,Yes,Yes,Job,Low,1984
882,Yes,526584.0,95506,10,,Yes,Yes,Business,Low,1984
883,No,756624.0,92641,10,Male,No,Yes,Business,Medium,1982
884,No,,1103310,5,,No,Yes,Job,High,1999
885,No,877006.0,142224,20,Male,No,No,Job,Low,1980
886,No,687589.0,146507,10,Female,Yes,No,Business,High,1998
887,Yes,546106.0,56303,10,Male,No,Yes,Job,Medium,2000
888,No,688598.0,96646,5,Male,No,Yes,Job,Medium,1988
889,Yes,,136125,20,Female,No,No,Job,Medium,1991
890,Yes,,1217598,15,Male,No,Yes,Business,Medium,1986
891,Yes,676091.0,131340,20,Female,No,Yes,Job,Medium,1970
892,No,760001.0,130933,15,Male,No,Yes,Job,Low,1975
893,Yes,775394.0,119609,10,Male,No,Yes,Job,High,1990
894,No,807323.0,195679,10,,No,No,Job,Medium,1995
895,Yes,,135851,15,Female,No,Yes,Job,Medium,1996
896,No,,68699,10,,Yes,No,Job,Low,1991
897,Yes,622007.0,114457,15,Male,Yes,Yes,Business,High,1996
898,No,780976.0,169557,5,,No,Yes,Business,High,1993
899,Yes,477459.0,98487,5,Male,Yes,No,Business,High,1987
900,Yes,655300.0,82445,15,Female,Yes,Yes,Business,High,1982
901,No,540999.0,133011,15,Female,No,No,Job,Low,1994
902,No,604311.0,101114,15,Male,No,Yes,Job,Medium,2000
903,No,791767.0,98063,5,Male,No,Yes,Job,Medium,1978
904,Yes,628664.0,79858,15,,No,Yes,Business,Medium,1994
905,Yes,606965.0,69640,5,Male,No,Yes,Job,Medium,1999
906,Yes,396021.0,87333,5,Male,No,Yes,Business,High,1985
907,No,711938.0,84225,10,,Yes,No,Business,Medium,1987
908,No,696822.0,82760,5,Female,No,No,Business,Medium,1975
909,Yes,924488.0,210386,10,Male,Yes,Yes,Job,High,1984
910,Yes,553833.0,84011,10,Male,No,Yes,Business,Medium,1971
911,No,,66216,10,Male,No,No,Job,Medium,1976
912,Yes,637407.0,68702,5,Female,Yes,No,Business,High,1989
913,Yes,,101503,5,,No,Yes,Job,High,1985
914,Yes,585705.0,77318,5,,No,Yes,Job,Medium,1972
915,Yes,641853.0,128224,5,Female,Yes,No,Job,High,1993
916,No,691184.0,85429,15,Female,No,Yes,Job,Low,1978
917,Yes,,73996,10,Female,Yes,No,Job,High,1989
918,Yes,,114446,10,Female,No,Yes,Job,Medium,1995
919,No,629113.0,126236,10,Male,No,No,Job,Low,1991
920,No,761044.0,125799,15,Female,Yes,No,Business,Low,1970
921,No,446022.0,81352,20,,No,Yes,Business,Low,1999
922,Yes,619945.0,91006,15,Male,Yes,No,Business,High,1990
923,No,494981.0,85322,15,Male,Yes,Yes,Job,Medium,1974
924,Yes,779256.0,137149,10,Male,Yes,Yes,Job,Medium,1985
925,Yes,371521.0,58732,15,,No,Yes,Job,High,1999
926,Yes,516161.0,121806,15,Male,No,Yes,Job,High,1986
927,No,656581.0,67239,10,Female,Yes,No,Job,Low,1987
928,Yes,834828.0,181429,10,Female,No,Yes,Job,Medium,1990
929,No,,70024,10,,No,Yes,Job,Medium,1985
930,No,516720.0,113488,20,Male,No,Yes,Business,Low,1983
931,Yes,,169718,15,Female,Yes,Yes,Job,Medium,1971
932,No,382797.0,86700,15,Male,No,No,Business,Medium,1971
933,Yes,270179.0,30969,10,,Yes,Yes,Job,Medium,1999
934,Yes,666002.0,122442,10,Male,No,No,Business,High,1985
935,Yes,524691.0,91906,5,,No,No,Job,Medium,2000
936,No,,1104144,5,Female,Yes,No,Job,Low,1996
937,Yes,706253.0,127226,20,Female,No,Yes,Business,Low,1980
938,No,636570.0,115289,15,Male,Yes,Yes,Business,Low,1999
939,Yes,515388.0,84750,10,Female,No,Yes,Job,Medium,1998
940,No,407954.0,59693,20,,Yes,Yes,Job,Low,1996
941,No,730868.0,125957,10,Female,No,No,Job,High,1976
942,Yes,2092590.0,739356,25,Female,No,No,Job,High,1977
943,Yes,585123.0,142902,10,Female,No,Yes,Business,Medium,1995
944,No,876995.0,181679,10,Male,Yes,Yes,Job,Medium,1997
945,Yes,1318461.0,640428,10,Male,Yes,Yes,Job,High,1996
946,Yes,371171.0,49740,5,Male,Yes,Yes,Job,Medium,1984
947,Yes,496213.0,115072,5,,No,Yes,Business,High,1996
948,Yes,593162.0,131277,15,Female,Yes,Yes,Job,Medium,1986
949,No,636500.0,128301,20,Male,Yes,Yes,Job,Medium,1973
950,No,,109241,15,Female,Yes,No,Job,Medium,1986
951,Yes,,96277,5,Male,Yes,No,Job,High,1992
952,Yes,412269.0,91714,15,Male,Yes,No,Job,Medium,1984
953,Yes,816564.0,143084,5,Male,Yes,No,Job,Medium,1974
954,No,587677.0,65016,5,,Yes,Yes,Business,Medium,1994
955,Yes,767594.0,112782,15,Female,Yes,Yes,Job,Medium,1976
956,Yes,651408.0,156529,15,Male,Yes,Yes,Job,Medium,1978
957,No,,152154,5,Female,Yes,Yes,Business,Low,1971
958,No,685465.0,169505,5,Male,No,Yes,Business,High,1980
959,Yes,667156.0,129561,25,Male,No,No,Job,Medium,1971
960,Yes,696408.0,95495,5,Male,Yes,Yes,Business,Medium,1979
961,Yes,799372.0,99459,10,Female,No,No,Job,Medium,1988
962,Yes,629478.0,80596,15,,No,Yes,Job,High,1988
963,Yes,706350.0,72732,5,Male,Yes,No,Business,High,1982
964,No,,93026,5,Male,Yes,Yes,Business,High,1994
965,No,816017.0,105032,10,Female,Yes,No,Job,Low,1971
966,Yes,498541.0,80638,15,Male,No,Yes,Job,Medium,1982
967,Yes,870141.0,209050,15,Female,Yes,Yes,Business,Medium,1986
968,Yes,593976.0,97757,15,Male,No,Yes,Job,Low,1986
969,Yes,,89292,25,Female,Yes,Yes,Job,High,2000
970,No,619215.0,118162,15,,No,No,Job,Low,1994
971,Yes,497842.0,68239,10,Male,No,Yes,Job,Medium,1970
972,Yes,2178288.0,668202,10,Female,Yes,No,Job,Medium,1980
973,No,502106.0,56531,15,Female,Yes,Yes,Job,Low,1983
974,No,533072.0,79971,15,Male,No,No,Business,Low,1999
975,No,316568.0,63829,15,Female,No,Yes,Job,Low,1970
976,No,532154.0,58971,15,Male,Yes,Yes,Job,High,1981
977,Yes,236418.0,30925,5,Male,Yes,No,Business,Low,1991
978,No,362414.0,56977,10,,No,Yes,Job,Low,1978
979,Yes,714062.0,176592,10,Female,Yes,Yes,Job,Medium,1983
980,Yes,,156301,5,Male,No,No,Job,High,1983
981,No,663818.0,139417,5,Female,Yes,Yes,Job,High,1972
982,No,,53424,15,Male,Yes,No,Business,Low,1980
983,No,592843.0,128735,15,Female,Yes,Yes,Job,Medium,1972
984,Yes,599459.0,130556,10,Female,No,No,Job,Medium,1997
985,Yes,,81057,10,Male,Yes,No,Business,High,1974
986,No,825509.0,205183,10,Female,No,No,Job,High,1987
987,No,731604.0,108853,5,,Yes,No,Job,Medium,1984
988,No,,136720,15,Male,No,Yes,Business,Medium,1996
989,No,604032.0,143282,15,Male,No,Yes,Job,Low,1999
990,Yes,631257.0,64212,15,Male,Yes,No,Business,Medium,1988
991,No,293739.0,49206,15,Male,No,Yes,Business,Medium,1997
992,No,562923.0,138797,15,Female,No,Yes,Business,High,1989
993,Yes,497702.0,57468,5,Male,No,Yes,Business,High,1977
994,Yes,449756.0,81931,10,,No,No,Job,Medium,1986
995,No,557834.0,137697,5,Female,Yes,Yes,Business,Medium,1986
996,Yes,869652.0,159428,25,Male,Yes,Yes,Job,High,1990
997,No,696126.0,89432,5,Female,Yes,No,Business,Low,1974
998,No,514323.0,96346,5,,No,Yes,Job,Medium,1971
999,Yes,685887.0,89622,20,,No,No,Job,High,1992
